,epoch,rank1,rank2,acc,loss,val_acc,val_loss,layer_1_eff_rank,layer_3_eff_rank
48,48,10,5,0.4821199774742126,1.4370832443237305,0.4487999975681305,1.530839920043945,2.2686229,1.580367
49,49,10,5,0.4822799861431122,1.4355415105819702,0.4528999924659729,1.531423568725586,2.268783,1.5787446
0,0,200,5,0.2753399908542633,1.9822043180465696,0.3473999798297882,1.796410083770752,4.884989,1.5762892
1,1,200,5,0.3519999980926513,1.790505290031433,0.3643999993801117,1.7618781328201294,4.751199,1.5647812
2,2,200,5,0.3798399865627289,1.7139829397201538,0.3673999905586242,1.72772479057312,4.630193,1.5651119
3,3,200,5,0.4031800031661987,1.656064510345459,0.4126999974250793,1.6358827352523804,4.52372,1.5724059
4,4,200,5,0.4175599813461303,1.6125247478485107,0.3890999853610992,1.682510495185852,4.440366,1.5807943
5,5,200,5,0.4313399791717529,1.5773231983184814,0.4177999794483185,1.63646399974823,4.3679867,1.5782131
6,6,200,5,0.4398599863052368,1.552603840827942,0.4332000017166137,1.586422562599182,4.311816,1.5780623
7,7,200,5,0.4493599832057953,1.5280333757400513,0.4503999948501587,1.538227915763855,4.2612314,1.5764818
8,8,200,5,0.4608799815177917,1.5041054487228394,0.4329999983310699,1.5944457054138184,4.2200117,1.5794212
9,9,200,5,0.4672199785709381,1.4884130954742432,0.3840999901294708,1.7837780714035034,4.1871204,1.578198
10,10,200,5,0.4713599979877472,1.469408392906189,0.4436999857425689,1.5382400751113892,4.159907,1.5786029
11,11,200,5,0.4768399894237518,1.4539719820022583,0.450899988412857,1.5346335172653198,4.1353993,1.5806015
12,12,200,5,0.4830999970436096,1.438152313232422,0.4799999892711639,1.4678571224212646,4.114773,1.5815597
13,13,200,5,0.4882199764251709,1.4228515625,0.445499986410141,1.5406728982925415,4.1018305,1.5814445
14,14,200,5,0.492499977350235,1.407463550567627,0.4781000018119812,1.4669241905212402,4.085748,1.580678
15,15,200,5,0.4969399869441986,1.3960102796554563,0.432699978351593,1.5742119550704956,4.073075,1.5843943
16,16,200,5,0.5006799697875977,1.3854491710662842,0.4720999896526336,1.4793366193771362,4.064431,1.5841401
17,17,200,5,0.5047399997711182,1.3695520162582395,0.4754999876022339,1.4902547597885132,4.0573993,1.5817497
18,18,200,5,0.5094799995422363,1.3572601079940796,0.4602999985218048,1.5261026620864868,4.0503383,1.582197
19,19,200,5,0.5142399668693542,1.3462796211242676,0.4508000016212463,1.5729167461395264,4.0480304,1.5869215
20,20,200,5,0.5185199975967407,1.334085464477539,0.4540999829769134,1.5206650495529177,4.045582,1.5853384
21,21,200,5,0.5214599967002869,1.3256524801254272,0.4917999804019928,1.4305291175842283,4.0442424,1.5845232
22,22,200,5,0.5244799852371216,1.3167316913604736,0.4903999865055084,1.434238314628601,4.043079,1.5813177
23,23,200,5,0.5267999768257141,1.3053654432296753,0.486299991607666,1.4519237279891968,4.044337,1.5842707
24,24,200,5,0.5307199954986572,1.2964417934417725,0.4784999787807464,1.459599256515503,4.0470443,1.5826231
25,25,200,5,0.5337799787521362,1.2853304147720337,0.4879999756813049,1.4302297830581665,4.04911,1.5853179
26,26,200,5,0.5372799634933472,1.274500012397766,0.4764999747276306,1.4816030263900757,4.0503893,1.5835834
27,27,200,5,0.5402799844741821,1.2657567262649536,0.4749999940395355,1.4799869060516355,4.053476,1.5847882
28,28,200,5,0.545520007610321,1.2565925121307373,0.4843999743461609,1.4630403518676758,4.056237,1.5884538
29,29,200,5,0.5469200015068054,1.2477562427520752,0.4779999852180481,1.4686726331710815,4.0579677,1.584852
30,30,200,5,0.5490800142288208,1.237796664237976,0.4959999918937683,1.4154443740844729,4.061643,1.584168
31,31,200,5,0.5511599779129028,1.2331916093826294,0.4936999976634979,1.4275356531143188,4.06515,1.5833044
32,32,200,5,0.5555599927902222,1.22262704372406,0.4852999746799469,1.4970072507858276,4.067656,1.5827117
33,33,200,5,0.5576800107955933,1.2153818607330322,0.4705999791622162,1.507119059562683,4.0713162,1.5814594
34,34,200,5,0.5620999932289124,1.207054615020752,0.491599977016449,1.4338319301605225,4.074707,1.579992
35,35,200,5,0.5647199749946594,1.1992981433868408,0.4912999868392944,1.4352312088012695,4.0801935,1.581862
36,36,200,5,0.5670599937438965,1.190678358078003,0.5042999982833862,1.416468858718872,4.083594,1.5816579
37,37,200,5,0.5687999725341797,1.183642029762268,0.4964999854564667,1.4327415227890017,4.088167,1.5815526
38,38,200,5,0.5711399912834167,1.178283929824829,0.4790999889373779,1.4855765104293823,4.0923066,1.5778291
39,39,200,5,0.5725600123405457,1.1706622838974,0.4775999784469604,1.4927490949630735,4.0967674,1.5808561
40,40,200,5,0.5732799768447876,1.163383960723877,0.4808999896049499,1.4760169982910156,4.1010175,1.5818163
41,41,200,5,0.579800009727478,1.1558587551116943,0.5062000155448914,1.4229401350021362,4.105814,1.5760854
42,42,200,5,0.5787799954414368,1.151641607284546,0.4962999820709228,1.4542392492294312,4.11184,1.5750256
43,43,200,5,0.5813599824905396,1.143371820449829,0.4966999888420105,1.431493043899536,4.116455,1.5777588
44,44,200,5,0.584659993648529,1.138669729232788,0.4648999869823456,1.5286158323287964,4.1221943,1.5788107
45,45,200,5,0.5862999558448792,1.1323211193084717,0.4901999831199646,1.5067522525787354,4.127708,1.5774496
46,46,200,5,0.5889999866485596,1.1232264041900637,0.4948000013828277,1.4657938480377195,4.132919,1.5766168
